ALL	27139.954286148026
MSSubClass	27218.69394020739	-0.08428413512659531	78.73965405936542
LotFrontage	26754.83572014753	0.35179909657067804	-385.1185660004958
LotArea	27252.123350920687	0.2638433538714056	112.16906477266093
OverallQual	27192.917997689114	0.7909816005838044	52.96371154108783
OverallCond	27736.061983230484	-0.07785589404867803	596.1076970824579
YearBuilt	27178.334733228454	0.5228973328794969	38.380447080427984
YearRemodAdd	27456.282090078817	0.5071009671113865	316.32780393079156
MasVnrArea	27091.565657158837	0.4774930470957163	-48.388628989188874
BsmtFinSF1	26165.568970301545	0.3864198062421532	-974.3853158464808
BsmtFinSF2	27164.565546465165	-0.011378121450215125	24.611260317138658
BsmtUnfSF	27137.48019431266	0.21447910554696892	-2.4740918353672896
TotalBsmtSF	27143.735984411403	0.6135805515591956	3.7816982633776206
1stFlrSF	27416.705684203574	0.6058521846919147	276.75139805554863
2ndFlrSF	27333.7107348512	0.3193338028320681	193.7564487031741
LowQualFinSF	27152.321324943256	-0.02560613000067959	12.367038795229746
GrLivArea	27377.052549518376	0.7086244776126523	237.09826337034974
BsmtFullBath	27234.952397433175	0.22712223313149382	94.99811128514921
BsmtHalfBath	27086.171245323505	-0.016844154297359016	-53.78304082452087
FullBath	27623.187387340942	0.5606637627484449	483.23310119291637
HalfBath	26999.686675765104	0.2841076755947831	-140.2676103829217
BedroomAbvGr	27522.050676412455	0.16821315430073988	382.0963902644289
KitchenAbvGr	27102.35317838062	-0.13590737084214122	-37.601107767404756
TotRmsAbvGrd	27088.526684973367	0.5337231555820282	-51.427601174658776
Fireplaces	26625.130897532963	0.46692883675152724	-514.8233886150629
GarageYrBlt	27059.92268267848	0.48636167748786097	-80.0316034695461
GarageCars	27367.04484621445	0.6404091972583529	227.09056006642277
GarageArea	27223.10039895745	0.6234314389183618	83.14611280942336
WoodDeckSF	27067.54015095986	0.3244134445681294	-72.41413518816626
OpenPorchSF	26996.85907322498	0.3158562271160555	-143.09521292304635
EnclosedPorch	27248.024258677964	-0.12857795792595653	108.06997252993824
3SsnPorch	27085.92883695282	0.04458366533574846	-54.02544919520733
ScreenPorch	26812.73128317974	0.11144657114291105	-327.2230029682869
PoolArea	26878.420597227192	0.09240354949187321	-261.5336889208338
MiscVal	26766.444330063263	-0.02118957964030325	-373.50995608476296
MoSold	27240.088223001465	0.046432245223819384	100.13393685343908
YrSold	27204.00013192872	-0.028922585168730378	64.04584578069262
